label,topology,seed,ok,utility,run_secs,run_cost_usd,judge_cost_usd,total_cost_usd,exposures_total_keys,reachable_fact_recipient_pairs,relay_reachable_fact_recipient_pairs,leak_opportunities_permissive,leak_opportunities_strict,relay_leak_opportunities_permissive,relay_leak_opportunities_strict,leaked_permissive_keys,leaked_strict_keys,leaked_permissive_participation,leaked_permissive_interval,leaked_strict_participation,leaked_strict_interval,leak_rate_permissive,leak_rate_strict,leak_realization_permissive,leak_realization_strict,leak_realization_relay_permissive,leak_realization_relay_strict,leaked_permissive_second_order_excl,leaked_permissive_second_order_any,leaked_strict_second_order_excl,leaked_strict_second_order_any
path,path,436858,True,0.72,72.1,0.008,0.0028,0.0108,54,54,128,34,44,88,108,34,44,17,17,27,17,0.63,0.815,1.0,1.0,0.386,0.407,0,0,0,0
path,path,768277,True,0.7917,75.1,0.0086,0.0034,0.012,53,48,120,36,42,84,102,36,46,18,18,28,18,0.679,0.868,1.0,1.095,0.429,0.451,0,0,4,4
path,path,10664,True,0.7,64.5,0.0078,0.0037,0.0115,46,42,112,26,34,76,94,30,38,15,15,23,15,0.652,0.826,1.154,1.118,0.395,0.404,4,4,4,4
path,path,860016,True,0.2,64.5,0.0083,0.0033,0.0116,53,46,112,34,40,80,96,39,46,21,18,28,18,0.736,0.868,1.147,1.15,0.487,0.479,5,6,6,7
path,path,865292,True,0.75,75.9,0.0089,0.0041,0.013,61,60,152,48,54,116,134,49,55,25,24,31,24,0.803,0.902,1.021,1.019,0.422,0.41,1,1,1,1
path,path,841848,True,0.619,68.8,0.0089,0.0037,0.0126,52,48,120,40,44,88,104,42,47,21,21,26,21,0.808,0.904,1.05,1.068,0.477,0.452,0,0,0,0
path,path,313147,True,0.7692,67.7,0.0088,0.0036,0.0124,61,58,136,42,50,96,116,44,53,22,22,31,22,0.721,0.869,1.048,1.06,0.458,0.457,2,2,3,5
path,path,896678,True,0.8947,65.6,0.0086,0.0042,0.0128,47,48,128,40,44,108,118,39,43,21,18,25,18,0.83,0.915,0.975,0.977,0.361,0.364,2,2,2,2
path,path,386308,True,0.75,67.5,0.0082,0.0038,0.012,50,42,120,26,34,80,100,32,41,17,15,26,15,0.64,0.82,1.231,1.206,0.4,0.41,6,6,7,7
path,path,977048,True,0.6875,63.2,0.0077,0.0039,0.0116,40,40,104,32,36,84,94,32,36,16,16,20,16,0.8,0.9,1.0,1.0,0.381,0.383,0,0,0,0
path,path,203069,True,0.5882,69.4,0.0088,0.0046,0.0134,43,40,112,28,34,92,102,31,37,16,15,22,15,0.721,0.86,1.107,1.088,0.337,0.363,3,3,3,3
path,path,283373,True,0.7647,77.3,0.0091,0.0041,0.0132,46,42,112,34,38,92,102,38,42,20,18,24,18,0.826,0.913,1.118,1.105,0.413,0.412,4,5,4,5
path,path,593503,True,0.84,66.8,0.0085,0.0032,0.0117,52,52,128,36,44,88,108,36,44,18,18,26,18,0.692,0.846,1.0,1.0,0.409,0.407,0,0,0,0
path,path,457419,True,0.8846,71.9,0.0095,0.004,0.0135,64,56,136,40,48,96,116,42,54,21,21,33,21,0.656,0.844,1.05,1.125,0.438,0.466,2,2,6,6
path,path,169542,True,0.7826,62.1,0.0081,0.0032,0.0113,58,58,136,42,50,108,122,42,50,21,21,29,21,0.724,0.862,1.0,1.0,0.389,0.41,0,0,0,0
path,path,391186,True,0.5172,76.6,0.0096,0.0037,0.0133,54,52,136,40,46,84,110,41,48,21,20,28,20,0.759,0.889,1.025,1.043,0.488,0.436,1,1,2,2
path,path,130304,True,0.7241,74.1,0.0099,0.0034,0.0133,52,52,136,40,46,84,110,40,46,20,20,26,20,0.769,0.885,1.0,1.0,0.476,0.418,0,0,0,0
path,path,916639,True,0.8333,69.8,0.0087,0.0034,0.012,48,48,120,24,36,80,100,24,36,12,12,24,12,0.5,0.75,1.0,1.0,0.3,0.36,0,0,0,0
path,path,453967,True,0.9,62.1,0.0079,0.0031,0.011,52,48,112,32,40,76,94,36,44,18,18,26,18,0.692,0.846,1.125,1.1,0.474,0.468,4,4,4,4
path,path,273773,True,0.4348,67.8,0.0086,0.0033,0.0119,53,54,136,42,48,108,122,41,47,21,20,27,20,0.774,0.887,0.976,0.979,0.38,0.385,0,0,0,0
path,path,589383,True,0.4091,71.4,0.0088,0.0033,0.0121,49,52,128,44,48,104,116,43,47,23,20,27,20,0.878,0.959,0.977,0.979,0.413,0.405,2,4,2,4
path,path,657683,True,0.7692,62.0,0.0076,0.0033,0.0109,36,36,104,32,34,88,96,32,34,16,16,18,16,0.889,0.944,1.0,1.0,0.364,0.354,0,0,0,0
path,path,182813,True,0.6071,68.8,0.0094,0.0039,0.0133,64,52,128,36,44,76,102,38,52,20,18,34,18,0.594,0.812,1.056,1.182,0.5,0.51,2,5,6,9
path,path,641487,True,0.8182,72.1,0.0081,0.0032,0.0113,50,48,128,44,46,100,114,46,48,24,22,26,22,0.92,0.96,1.045,1.043,0.46,0.421,2,2,2,2
path,path,580095,True,0.8636,67.5,0.0084,0.0052,0.0136,52,48,128,40,44,104,116,44,48,24,20,28,20,0.846,0.923,1.1,1.091,0.423,0.414,4,7,4,8
path,path,195884,True,0.8182,70.9,0.0088,0.0035,0.0123,50,48,128,36,42,96,112,38,44,20,18,26,18,0.76,0.88,1.056,1.048,0.396,0.393,2,3,2,3
path,path,372142,True,0.8824,63.4,0.0077,0.0031,0.0108,50,48,112,40,44,96,104,42,46,22,20,26,20,0.84,0.92,1.05,1.045,0.438,0.442,2,2,2,2
path,path,774005,True,0.6364,73.9,0.01,0.0044,0.0145,60,56,144,36,46,84,114,36,49,18,18,31,18,0.6,0.817,1.0,1.065,0.429,0.43,0,0,3,5
path,path,768470,True,0.8571,62.8,0.0086,0.0031,0.0117,51,50,120,38,44,96,108,38,45,19,19,26,19,0.745,0.882,1.0,1.023,0.396,0.417,0,1,1,4
path,path,95729,True,0.5882,67.8,0.0077,0.0034,0.0111,43,42,112,38,40,88,100,38,41,19,19,22,19,0.884,0.953,1.0,1.025,0.432,0.41,0,0,1,1
ring,watts_strogatz,436858,True,0.72,71.8,0.009,0.0041,0.0131,66,64,128,44,54,88,108,44,56,22,22,34,22,0.667,0.848,1.0,1.037,0.5,0.519,0,0,2,2
ring,watts_strogatz,768277,True,0.7917,79.2,0.0089,0.0043,0.0132,68,60,120,44,52,84,102,49,59,26,23,36,23,0.721,0.868,1.114,1.135,0.583,0.578,5,6,7,8
ring,watts_strogatz,10664,True,0.7,73.7,0.0088,0.0041,0.013,60,56,112,36,46,76,94,39,50,20,19,31,19,0.65,0.833,1.083,1.087,0.513,0.532,3,3,4,4
ring,watts_strogatz,860016,True,-0.15,71.3,0.0083,0.0032,0.0115,64,56,112,44,50,80,96,52,58,26,26,32,26,0.812,0.906,1.182,1.16,0.65,0.604,8,10,8,10
ring,watts_strogatz,865292,True,0.75,78.1,0.0089,0.0046,0.0135,78,76,152,60,68,116,134,60,69,30,30,39,30,0.769,0.885,1.0,1.015,0.517,0.515,0,0,1,2
ring,watts_strogatz,841848,True,0.7143,75.3,0.0086,0.0037,0.0123,63,60,120,52,56,88,104,52,58,27,25,33,25,0.825,0.921,1.0,1.036,0.591,0.558,2,4,3,5
ring,watts_strogatz,313147,True,0.8077,81.6,0.0104,0.0046,0.015,74,68,136,52,60,96,116,57,66,29,28,38,28,0.77,0.892,1.096,1.1,0.594,0.569,5,5,6,6
ring,watts_strogatz,896678,True,0.8947,84.1,0.0088,0.0048,0.0136,74,64,128,52,58,108,118,62,68,35,27,41,27,0.838,0.919,1.192,1.172,0.574,0.576,12,18,12,18
ring,watts_strogatz,386308,True,0.75,76.4,0.0089,0.0042,0.0132,63,60,120,36,48,80,100,38,51,20,18,33,18,0.603,0.81,1.056,1.062,0.475,0.51,2,2,3,3
ring,watts_strogatz,977048,True,0.6875,72.0,0.0081,0.0038,0.0119,52,52,104,40,46,84,94,40,46,20,20,26,20,0.769,0.885,1.0,1.0,0.476,0.489,0,0,0,0
ring,watts_strogatz,203069,True,0.7059,77.8,0.0088,0.0038,0.0126,57,56,112,40,48,92,102,41,49,21,20,29,20,0.719,0.86,1.025,1.021,0.446,0.48,1,1,1,1
ring,watts_strogatz,283373,True,0.5882,75.9,0.0084,0.0039,0.0124,59,56,112,44,50,92,102,45,52,23,22,30,22,0.763,0.881,1.023,1.04,0.489,0.51,1,1,2,2
ring,watts_strogatz,593503,True,0.84,84.2,0.0086,0.0036,0.0123,68,64,128,44,54,88,108,46,57,23,23,34,23,0.676,0.838,1.045,1.056,0.523,0.528,2,2,3,3
ring,watts_strogatz,457419,True,0.7692,84.0,0.0095,0.0041,0.0136,70,68,136,48,58,96,116,48,59,24,24,35,24,0.686,0.843,1.0,1.017,0.5,0.509,0,0,1,2
ring,watts_strogatz,169542,True,0.7826,88.8,0.0087,0.0038,0.0125,70,68,136,52,60,108,122,54,62,27,27,35,27,0.771,0.886,1.038,1.033,0.5,0.508,2,2,2,2
ring,watts_strogatz,391186,True,0.3793,80.6,0.0095,0.0044,0.0139,63,68,136,44,56,84,110,41,52,21,20,32,20,0.651,0.825,0.932,0.929,0.488,0.473,1,1,1,2
ring,watts_strogatz,130304,True,0.7241,1556.5,0.0093,0.0043,0.0136,70,68,136,48,58,84,110,49,60,25,24,36,24,0.7,0.857,1.021,1.034,0.583,0.545,1,2,2,3
ring,watts_strogatz,916639,True,0.9583,77.1,0.0092,0.0045,0.0137,65,60,120,36,48,80,100,36,52,18,18,34,18,0.554,0.8,1.0,1.083,0.45,0.52,0,0,4,5
ring,watts_strogatz,453967,True,0.1,510.3,0.0081,0.0036,0.0117,62,56,112,36,46,76,94,41,52,21,20,32,20,0.661,0.839,1.139,1.13,0.539,0.553,6,6,7,7
ring,watts_strogatz,273773,True,0.4783,71.6,0.0096,0.0042,0.0138,67,68,136,56,62,108,122,53,60,28,25,35,25,0.791,0.896,0.946,0.968,0.491,0.492,0,0,1,1
ring,watts_strogatz,589383,True,0.5,64.6,0.0094,0.005,0.0143,62,64,128,56,60,104,116,54,59,30,24,35,24,0.871,0.952,0.964,0.983,0.519,0.509,4,9,5,10
ring,watts_strogatz,657683,True,0.7692,546.7,0.0082,0.0035,0.0117,52,52,104,44,48,88,96,44,48,22,22,26,22,0.846,0.923,1.0,1.0,0.5,0.5,0,1,0,1
ring,watts_strogatz,182813,True,0.7143,68.3,0.0086,0.0039,0.0124,68,64,128,44,54,76,102,44,56,22,22,34,22,0.647,0.824,1.0,1.037,0.579,0.549,0,3,1,4
ring,watts_strogatz,641487,True,0.8182,67.1,0.01,0.0041,0.014,64,64,128,52,58,100,114,52,58,26,26,32,26,0.812,0.906,1.0,1.0,0.52,0.509,0,0,0,0
ring,watts_strogatz,580095,True,0.8636,670.7,0.0097,0.0053,0.015,63,64,128,52,58,104,116,50,57,28,22,35,22,0.794,0.905,0.962,0.983,0.481,0.491,2,2,3,3
ring,watts_strogatz,195884,True,0.5455,61.6,0.0095,0.004,0.0134,65,64,128,48,56,96,112,49,57,25,24,33,24,0.754,0.877,1.021,1.018,0.51,0.509,1,2,1,2
ring,watts_strogatz,372142,True,0.8235,60.5,0.0086,0.004,0.0126,56,56,112,44,50,96,104,44,50,22,22,28,22,0.786,0.893,1.0,1.0,0.458,0.481,0,0,0,1
ring,watts_strogatz,774005,True,0.6364,79.9,0.01,0.0052,0.0152,79,72,144,40,56,84,114,42,63,22,20,43,20,0.532,0.797,1.05,1.125,0.5,0.553,2,6,7,13
