label,seed,utility,variables_assigned,total_variables,complete,run_cost_usd,run_secs,exposures_total_keys,exposures_total_weighted,reachable_fact_recipient_pairs,leak_opportunities_permissive,leak_opportunities_strict,leak_opportunities_only_new,relay_reachable_fact_recipient_pairs,relay_leak_opportunities_permissive,relay_leak_opportunities_strict,relay_leak_opportunities_only_new,leaked_permissive_keys,leaked_permissive_participation,leaked_permissive_interval,leaked_permissive_second_order_excl,leaked_permissive_second_order_any,leaked_strict_keys,leaked_strict_participation,leaked_strict_interval,leaked_strict_second_order_excl,leaked_strict_second_order_any,leaked_only_new_keys,leaked_only_new_participation,leaked_only_new_interval,leaked_only_new_second_order_excl,leaked_only_new_second_order_any,redundant_participation_broadcasts,leaked_only_new_weighted,leak_rate_permissive,leak_rate_strict,leak_rate_only_new,fraction_broadcasts_informative,leak_realization_permissive,leak_realization_strict,leak_realization_relay_permissive,leak_realization_relay_strict,leak_realization_only_new
complete,10664,0.7,14,14,True,0.0078,63.0,112,112.0,112,76,94,74,112,76,94,74,76,38,38,0,27,94,56,38,0,37,74,36,38,0,27,20,74.0,0.679,0.839,0.661,0.787,1.0,1.0,1.0,1.0,1.0
complete,130304,0.7241379310344828,17,17,True,0.0084,60.8,136,136.0,136,84,110,78,136,84,110,78,84,42,42,0,43,110,68,42,0,64,78,36,42,0,43,32,78.0,0.618,0.809,0.574,0.709,1.0,1.0,1.0,1.0,1.0
complete,169542,0.7391304347826086,17,17,True,0.0085,65.0,136,136.0,136,108,122,96,136,108,122,96,108,54,54,0,27,122,68,54,0,35,96,42,54,0,25,26,96.0,0.794,0.897,0.706,0.787,1.0,1.0,1.0,1.0,1.0
complete,182813,0.6071428571428571,16,16,True,0.0081,60.5,128,128.0,128,76,102,74,128,76,102,74,76,38,38,0,42,102,64,38,0,59,74,36,38,0,42,28,74.0,0.594,0.797,0.578,0.725,1.0,1.0,1.0,1.0,1.0
complete,195884,0.7272727272727273,16,16,True,0.0078,63.6,120,120.0,128,96,112,84,128,96,112,84,90,48,42,0,18,106,64,42,0,30,78,36,42,0,17,28,78.0,0.75,0.883,0.65,0.736,0.938,0.946,0.938,0.946,0.929
complete,203069,0.6470588235294118,14,14,True,0.0076,55.9,112,112.0,112,92,102,82,112,92,102,82,92,46,46,0,24,102,56,46,0,30,82,36,46,0,22,20,82.0,0.821,0.911,0.732,0.804,1.0,1.0,1.0,1.0,1.0
complete,273773,0.43478260869565216,17,17,True,0.0089,69.8,124,124.0,136,108,122,90,136,108,122,90,97,54,43,0,39,111,68,43,0,47,79,36,43,0,31,32,79.0,0.782,0.895,0.637,0.712,0.898,0.91,0.898,0.91,0.878
complete,283373,0.5882352941176471,14,14,True,0.0076,59.6,112,112.0,112,92,102,82,112,92,102,82,92,46,46,0,30,102,56,46,0,36,82,36,46,0,28,20,82.0,0.821,0.911,0.732,0.804,1.0,1.0,1.0,1.0,1.0
complete,313147,0.6153846153846154,17,17,True,0.0087,67.3,136,136.0,136,96,116,84,136,96,116,84,96,48,48,0,34,116,68,48,0,50,84,36,48,0,28,32,84.0,0.706,0.853,0.618,0.724,1.0,1.0,1.0,1.0,1.0
complete,372142,1.0,14,14,True,0.0074,69.1,112,112.0,112,96,104,84,112,96,104,84,96,48,48,0,27,104,56,48,0,33,84,36,48,0,25,20,84.0,0.857,0.929,0.75,0.808,1.0,1.0,1.0,1.0,1.0
complete,386308,0.75,15,15,True,0.0079,64.5,120,120.0,120,80,100,76,120,80,100,76,80,40,40,0,28,100,60,40,0,44,76,36,40,0,28,24,76.0,0.667,0.833,0.633,0.76,1.0,1.0,1.0,1.0,1.0
complete,391186,0.5172413793103449,17,17,True,0.0084,74.6,136,136.0,136,84,110,78,136,84,110,78,84,42,42,0,52,110,68,42,0,75,78,36,42,0,46,32,78.0,0.618,0.809,0.574,0.709,1.0,1.0,1.0,1.0,1.0
complete,436858,0.72,16,16,True,0.008,68.2,128,128.0,128,88,108,80,128,88,108,80,88,44,44,0,49,108,64,44,0,67,80,36,44,0,47,28,80.0,0.688,0.844,0.625,0.741,1.0,1.0,1.0,1.0,1.0
complete,453967,0.35,14,14,True,0.0075,59.7,112,112.0,112,76,94,74,112,76,94,74,76,38,38,0,30,94,56,38,0,40,74,36,38,0,30,20,74.0,0.679,0.839,0.661,0.787,1.0,1.0,1.0,1.0,1.0
complete,457419,0.7692307692307693,17,17,True,0.0081,62.5,136,136.0,136,96,116,84,136,96,116,84,96,48,48,0,41,116,68,48,0,58,84,36,48,0,37,32,84.0,0.706,0.853,0.618,0.724,1.0,1.0,1.0,1.0,1.0
complete,580095,0.8636363636363636,16,16,True,0.0089,74.5,128,128.0,128,104,116,88,128,104,116,88,104,52,52,0,31,116,64,52,0,43,88,36,52,0,27,28,88.0,0.812,0.906,0.688,0.759,1.0,1.0,1.0,1.0,1.0
complete,589383,0.45454545454545453,16,16,True,0.0081,59.6,124,118.0,128,104,116,88,128,104,116,88,102,52,50,0,31,114,64,50,0,37,86,36,50,0,25,28,80.0,0.823,0.919,0.694,0.754,0.981,0.983,0.981,0.983,0.977
complete,593503,0.84,16,16,True,0.008,59.9,128,128.0,128,88,108,80,128,88,108,80,88,44,44,0,35,108,64,44,0,51,80,36,44,0,35,28,80.0,0.688,0.844,0.625,0.741,1.0,1.0,1.0,1.0,1.0
complete,641487,0.8181818181818182,16,16,True,0.0088,75.3,128,128.0,128,100,114,86,128,100,114,86,100,50,50,0,18,114,64,50,0,27,86,36,50,0,18,28,86.0,0.781,0.891,0.672,0.754,1.0,1.0,1.0,1.0,1.0
complete,657683,0.7692307692307693,13,13,True,0.0072,49.9,104,104.0,104,88,96,80,104,88,96,80,88,44,44,0,34,96,52,44,0,34,80,36,44,0,30,16,80.0,0.846,0.923,0.769,0.833,1.0,1.0,1.0,1.0,1.0
complete,768277,0.875,15,15,True,0.0081,1225.7,120,120.0,120,84,102,78,120,84,102,78,84,42,42,0,25,102,60,42,0,40,78,36,42,0,25,24,78.0,0.7,0.85,0.65,0.765,1.0,1.0,1.0,1.0,1.0
complete,768470,0.8571428571428571,15,15,True,0.0079,53.7,120,120.0,120,96,108,84,120,96,108,84,96,48,48,0,12,108,60,48,0,24,84,36,48,0,12,24,84.0,0.8,0.9,0.7,0.778,1.0,1.0,1.0,1.0,1.0
complete,774005,0.6363636363636364,18,18,True,0.0082,58.1,144,144.0,144,84,114,78,144,84,114,78,84,42,42,0,28,114,72,42,0,48,78,36,42,0,28,36,78.0,0.583,0.792,0.542,0.684,1.0,1.0,1.0,1.0,1.0
complete,841848,0.42857142857142855,15,15,True,0.0094,68.3,120,120.0,120,88,104,80,120,88,104,80,88,44,44,0,38,104,60,44,0,48,80,36,44,0,36,24,80.0,0.733,0.867,0.667,0.769,1.0,1.0,1.0,1.0,1.0
complete,860016,0.55,14,14,True,0.0079,66.8,112,108.0,112,80,96,76,112,80,96,76,80,40,40,0,23,96,56,40,0,34,76,36,40,0,23,20,73.0,0.714,0.857,0.679,0.792,1.0,1.0,1.0,1.0,1.0
complete,865292,0.7857142857142857,19,19,True,0.0086,63.2,148,148.0,152,116,134,100,152,116,134,100,112,58,54,0,23,130,76,54,0,31,96,42,54,0,20,34,96.0,0.757,0.878,0.649,0.738,0.966,0.97,0.966,0.97,0.96
complete,896678,0.8947368421052632,16,16,True,0.008,65.2,120,120.0,128,108,118,90,128,108,118,90,100,54,46,0,33,110,64,46,0,39,82,36,46,0,29,28,82.0,0.833,0.917,0.683,0.745,0.926,0.932,0.926,0.932,0.911
complete,916639,0.9166666666666666,15,15,True,0.008,61.2,120,120.0,120,80,100,76,120,80,100,76,80,40,40,0,28,100,60,40,0,38,76,36,40,0,28,24,76.0,0.667,0.833,0.633,0.76,1.0,1.0,1.0,1.0,1.0
complete,95729,0.9411764705882353,14,14,True,0.008,62.2,112,112.0,112,88,100,80,112,88,100,80,88,44,44,0,45,100,56,44,0,51,80,36,44,0,43,20,80.0,0.786,0.893,0.714,0.8,1.0,1.0,1.0,1.0,1.0
